,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Fgfr2,0.9996,0.00039999999999995595,7.823620941151559,0.00041591853,8.069455e-05,0.0,0.25,2.3987663,2.4106612,0.5849766,-0.29004192,4.9104424,2.9150662,0.6597447,0.8122586872586821,0.3918918918918993,4.2770367,0.7977355,True,WT vs CCR6_KO,WT,CCR6_KO
Gm21887,0.9952,0.0048000000000000265,5.334325730788133,0.00013301636,2.8109724e-05,0.0,0.25,2.2623835,2.26402,0.8161032,-2.515212,6.72085,0.92228997,0.22393763,0.5062741312741443,0.17181467181467153,1.4047332,0.26206154,True,WT vs CCR6_KO,WT,CCR6_KO
Gm48099,0.9946,0.00539999999999996,5.215939850914573,0.00048689905,0.000104585895,0.0,0.25,2.2490697,2.2335086,0.7519883,-1.7802353,4.9095535,3.5135229,0.8880248,0.8445945945945875,0.4773166023166145,5.061165,1.1494285,True,WT vs CCR6_KO,WT,CCR6_KO
Gm19951,0.9918,0.008199999999999985,4.795386110356055,0.0008772682,0.00022754783,0.0,0.25,1.9712205,1.9638057,0.73023903,-1.2698069,4.555522,5.9835916,1.7712424,0.9232625482625365,0.6645752895752932,8.645635,2.325666,True,WT vs CCR6_KO,WT,CCR6_KO
Gm11808,0.989,0.01100000000000001,4.498798159845069,0.0004963431,0.0002038098,0.0,0.25,1.3168154,1.2519488,0.74286515,-3.751524,5.807863,3.5806067,1.8388113,0.9169884169884056,0.703667953667955,5.4597144,2.192204,True,WT vs CCR6_KO,WT,CCR6_KO
Uba52,0.988,0.01200000000000001,4.410775224748337,0.0006742616,0.00029921893,0.0,0.25,1.1959202,1.1528921,0.69262844,-2.7987509,5.466381,4.5453787,2.738429,0.9517374517374383,0.782335907335904,6.832397,3.1002138,True,WT vs CCR6_KO,WT,CCR6_KO
Gm11290,0.9862,0.013800000000000034,4.269189867129377,0.00020722403,6.150539e-05,0.0,0.25,1.8412297,1.8037391,0.82621866,-1.7737522,6.09898,0.737451,0.25723904,0.16119691119691093,0.11389961389961371,1.1914552,0.36641657,True,WT vs CCR6_KO,WT,CCR6_KO
Hexb,0.9846,0.01539999999999997,4.157867318710489,0.003133213,0.0009175681,0.0,0.25,1.8004714,1.7954369,0.7416971,-1.8879423,4.310928,23.25431,7.720073,0.991795366795351,0.9247104247104129,34.10122,10.002562,True,WT vs CCR6_KO,WT,CCR6_KO
Eno1,0.9844,0.015599999999999947,4.14476077339445,0.00037058006,0.0001376562,0.0,0.25,1.4658,1.4430337,0.7660004,-3.2172775,5.9607067,2.4667108,1.1742247,0.8228764478764421,0.5424710424710534,3.588263,1.266895,True,WT vs CCR6_KO,WT,CCR6_KO
mt-Atp8,0.984,0.016000000000000014,4.119036559975268,0.00016910302,0.0003690835,0.0,0.25,-1.1101089,-1.1248646,0.38794866,-3.009821,1.4275169,1.1143787,2.9536765,0.6110038610038678,0.8248069498069439,1.6913439,3.677285,True,WT vs CCR6_KO,WT,CCR6_KO
