,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Pxdc1,0.9648,0.03520000000000001,3.310874469642843,0.0002842472,5.9388673e-05,0.0,0.25,2.85164,2.7308197,1.8060496,-3.7993946,9.058892,1.1642709,0.4429241,0.6167146974063484,0.24366957243669443,2.6948469,0.4928115,True,0 vs Rest,0,Rest
Pxk,0.9644,0.035599999999999965,3.2991602379193363,0.00027973994,8.776029e-05,0.0,0.25,1.9167299,1.9054728,1.1445861,-2.7568302,6.29064,1.076663,0.65711987,0.6236311239193169,0.3931091739310973,2.5343337,0.7564647,True,0 vs Rest,0,Rest
Rnf144a,0.9556,0.044399999999999995,3.0690997312529054,5.9926646e-05,1.9122843e-05,0.0,0.25,2.0873003,2.0114098,1.5042973,-4.392413,7.535619,0.24668506,0.1207968,0.2086455331412116,0.10253217102532224,0.5715726,0.15332946,True,0 vs Rest,0,Rest
Ralgps2,0.9522,0.047799999999999954,2.9917492585600054,0.00039021246,0.00013054053,0.0,0.25,2.0728862,2.028057,1.5860001,-4.536731,7.332328,1.6028919,1.036113,0.7181556195965519,0.44956413449564964,3.7569578,1.2159783,True,0 vs Rest,0,Rest
Cnn3,0.9478,0.052200000000000024,2.8990608336247803,0.00016476342,5.807451e-05,0.0,0.25,1.6688232,1.6615629,1.0612253,-3.1282253,5.167922,0.67147166,0.3051075,0.46455331412104317,0.22457451224574418,1.5384754,0.36597803,True,0 vs Rest,0,Rest
Tmem108,0.9458,0.054200000000000026,2.859350047835406,9.07782e-05,3.2202104e-05,0.0,0.25,1.6762738,1.6179023,1.1205275,-2.7104168,6.271138,0.33948085,0.14570363,0.26109510086455545,0.10751349107513551,0.7694869,0.15969309,True,0 vs Rest,0,Rest
Plk2,0.945,0.05500000000000005,2.843851571025116,0.00010826224,3.4264966e-05,0.0,0.25,1.964908,1.904171,1.4139442,-4.1668224,7.486326,0.35389024,0.15691158,0.20518731988472738,0.09256953092569568,0.813429,0.16914353,True,0 vs Rest,0,Rest
Zfp318,0.942,0.05800000000000005,2.7875621022318757,0.00011344638,4.426496e-05,0.0,0.25,1.633601,1.6054306,1.2013104,-4.304534,6.259205,0.48069143,0.27023742,0.3400576368876116,0.19385637193856334,1.1192529,0.33529648,True,0 vs Rest,0,Rest
Ighd,0.9414,0.058599999999999985,2.776633272358103,0.0003400399,0.00012349174,0.0,0.25,1.7642816,1.7567549,1.3007933,-3.790227,6.890542,1.4922277,0.75840634,0.702593659942373,0.34080531340805614,3.5450346,0.9392886,True,0 vs Rest,0,Rest
Irgc1,0.9408,0.05920000000000003,2.7658088769647486,3.6673104e-05,1.2631382e-05,0.0,0.25,2.1495154,2.0058565,1.9362857,-4.9378767,10.237176,0.12910667,0.07721034,0.1123919308357347,0.06849315068493152,0.29743776,0.10610885,True,0 vs Rest,0,Rest
Fcer2a,0.9406,0.05940000000000001,2.7622235854237056,0.00039647106,0.00016582166,0.0,0.25,1.6439888,1.7560034,1.4178736,-5.045542,6.756178,1.6922296,1.2540452,0.67550432276658,0.3150684931506867,3.894886,1.1669976,True,0 vs Rest,0,Rest
