,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Tnfaip2,0.9962,0.0038000000000000256,5.568944352369496,5.302205e-05,1.1745991e-06,0.0,0.25,6.3374457,6.469874,2.8140578,-9.152308,15.449346,0.3419689,0.0015186027,0.18652849740932637,0.0012655024044545685,0.37251896,0.0013785013,True,Ccl2_6_9+ vs Rest,Ccl2_6_9+,Rest
Ccl2,0.9948,0.005199999999999982,5.253881173319069,8.719034e-05,8.594637e-07,0.0,0.25,8.981536,9.171442,4.2720213,-10.101566,21.409882,0.44559577,0.0017717032,0.13471502590673579,0.0007593014426727411,0.293264,0.0009391679,True,Ccl2_6_9+ vs Rest,Ccl2_6_9+,Rest
Slc8a1,0.9938,0.006199999999999983,5.076985084277639,7.496842e-05,3.250604e-06,0.0,0.25,5.731047,5.650226,2.9243696,-5.280328,15.279627,0.54922265,0.006074411,0.29533678756476683,0.004049607694254621,0.6447727,0.003129533,True,Ccl2_6_9+ vs Rest,Ccl2_6_9+,Rest
Ccl9,0.9932,0.006800000000000028,4.984007980933258,5.4871547e-05,4.038915e-07,0.0,0.25,8.538126,8.518391,4.1386743,-5.508171,23.121471,0.2797927,0.0,0.11917098445595858,0.0,0.3200323,0.0,True,Ccl2_6_9+ vs Rest,Ccl2_6_9+,Rest
Ccl6,0.9928,0.007199999999999984,4.926446829052988,0.00013345663,1.7084868e-06,0.0,0.25,7.091638,7.098197,3.5974956,-6.4271164,20.291153,0.86528504,0.0030372054,0.19689119170984448,0.0025310048089091375,1.0810533,0.0026355255,True,Ccl2_6_9+ vs Rest,Ccl2_6_9+,Rest
Mras,0.9918,0.008199999999999985,4.795386110356055,1.9038482e-05,3.708087e-07,0.0,0.25,6.939413,7.0351925,3.5354981,-7.7494373,18.686865,0.15025908,0.00025310047,0.12435233160621766,0.0002531004808909137,0.17392358,0.00029125487,True,Ccl2_6_9+ vs Rest,Ccl2_6_9+,Rest
Lyz2,0.9908,0.009199999999999986,4.679308136697134,0.0014103546,2.2700571e-05,0.0,0.25,6.105697,6.1884065,3.249166,-6.374386,16.747892,21.419699,0.12579095,0.5336787564766847,0.024803847127309504,22.647621,0.09206689,True,Ccl2_6_9+ vs Rest,Ccl2_6_9+,Rest
Dock7,0.9904,0.009600000000000053,4.636344771887343,2.6602229e-05,1.0004298e-06,0.0,0.25,4.930686,5.0334225,2.5413039,-5.444208,12.360315,0.20207252,0.0020248035,0.16062176165803108,0.0020248038471273096,0.20611504,0.0016663366,True,Ccl2_6_9+ vs Rest,Ccl2_6_9+,Rest
Fmnl2,0.9904,0.009600000000000053,4.636344771887343,0.00014521058,3.7078921e-06,0.0,0.25,5.6698103,5.711104,2.6832705,-5.0413094,14.048455,1.3782387,0.011642622,0.46632124352331666,0.008605416350291068,1.3800797,0.012808894,True,Ccl2_6_9+ vs Rest,Ccl2_6_9+,Rest
Apod,0.99,0.010000000000000009,4.5951188602360995,0.00011694758,5.913233e-07,0.0,0.25,5.429801,6.267152,5.6077957,-14.22884,20.459785,0.6787564,0.0020248038,0.11917098445595858,0.0007593014426727411,0.75728625,0.0010448745,True,Ccl2_6_9+ vs Rest,Ccl2_6_9+,Rest
Dock1,0.99,0.010000000000000009,4.5951188602360995,1.5072212e-05,5.6516774e-07,0.0,0.25,5.7325635,5.836595,3.1901238,-7.7824287,15.554402,0.113989644,0.002277904,0.10880829015544044,0.001771703366236396,0.13659681,0.0019587318,True,Ccl2_6_9+ vs Rest,Ccl2_6_9+,Rest
Cd14,0.9898,0.010199999999999987,4.575114211938937,0.0001201734,2.5390184e-06,0.0,0.25,6.303278,6.284759,3.778212,-11.800905,17.797382,1.253886,0.0020248038,0.2331606217616579,0.0010124019235636548,0.8690426,0.0014309543,True,Ccl2_6_9+ vs Rest,Ccl2_6_9+,Rest
