,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Ash1l,0.9988,0.0011999999999999789,6.724224678325084,0.00036470682,8.447724e-05,0.0,0.25,2.140909,2.0902805,0.7523549,-0.7937069,6.3776655,1.1666667,0.66186523,0.625,0.41748046875,5.110304,0.89012384,True,GC vs Rest,GC,Rest
Glg1,0.9986,0.0013999999999999568,6.569874928627714,0.00032928464,6.547059e-05,0.0,0.25,2.3833566,2.3534284,0.75104976,-0.5173178,6.2231264,0.875,0.44433594,0.47916666666666646,0.317626953125,3.7104719,0.5892765,True,GC vs Rest,GC,Rest
Gtdc1,0.9982,0.0018000000000000238,6.318161446611285,0.00027651392,4.512318e-05,0.0,0.25,2.7129922,2.6899686,0.87045914,-0.8640604,7.2369213,0.77083325,0.32958984,0.3958333333333332,0.237060546875,2.8490798,0.43892306,True,GC vs Rest,GC,Rest
Cobll1,0.998,0.0020000000000000018,6.212601105784058,0.00047265147,6.9409645e-05,0.0,0.25,2.8858793,2.8315878,1.0632013,-1.676445,8.028419,1.0,0.43676758,0.4999999999999998,0.305908203125,3.868185,0.62502164,True,GC vs Rest,GC,Rest
Mga,0.998,0.0020000000000000018,6.212601105784058,0.00024029004,6.480596e-05,0.0,0.25,1.9640979,1.9141655,0.67472094,-0.8297262,5.274933,0.3541667,0.4663086,0.25,0.3251953125,1.3403904,0.6372871,True,GC vs Rest,GC,Rest
Trip12,0.998,0.0020000000000000018,6.212601105784058,0.00038811995,8.623429e-05,0.0,0.25,2.179163,2.1473322,0.75471467,-1.0608368,6.9077444,1.0,0.63793945,0.5416666666666665,0.407470703125,4.135551,0.83439,True,GC vs Rest,GC,Rest
Cep350,0.998,0.0020000000000000018,6.212601105784058,0.0003376534,7.094812e-05,0.0,0.25,2.3038619,2.2703342,0.7524647,-0.5591469,5.9223814,0.8541666,0.49975586,0.4999999999999998,0.34716796875,3.5755932,0.675968,True,GC vs Rest,GC,Rest
Cnot1,0.998,0.0020000000000000018,6.212601105784058,0.0002137846,5.1084375e-05,0.0,0.25,2.0926178,2.0808263,0.69392854,-0.86775017,6.1471806,0.6250001,0.38452148,0.43749999999999983,0.283203125,2.608861,0.4995107,True,GC vs Rest,GC,Rest
Iqgap1,0.9978,0.0021999999999999797,6.11709095964051,0.0009189639,0.00027393628,0.0,0.25,1.79816,1.7587676,0.5883119,-0.63013554,5.604533,2.2291667,2.1918945,0.8958333333333338,0.751220703125,9.09105,2.855457,True,GC vs Rest,GC,Rest
Fam172a,0.9976,0.0023999999999999577,6.029879500378016,0.00042770387,9.790454e-05,0.0,0.25,2.159159,2.1235423,0.76351136,-0.71924305,6.928418,1.125,0.6411133,0.5208333333333331,0.411865234375,4.2165422,0.8643305,True,GC vs Rest,GC,Rest
Rfx7,0.9976,0.0023999999999999577,6.029879500378016,0.0002896179,6.631691e-05,0.0,0.25,2.208963,2.1751223,0.83326674,-1.4790583,6.5034037,0.7916667,0.4868164,0.4999999999999998,0.341064453125,3.272164,0.67519635,True,GC vs Rest,GC,Rest
Akap11,0.9976,0.0023999999999999577,6.029879500378016,0.00011365065,2.7874225e-05,0.0,0.25,2.0786092,2.04112,0.7234345,-0.6975956,5.916546,0.16666666,0.18676758,0.14583333333333331,0.158935546875,0.5321149,0.2603597,True,GC vs Rest,GC,Rest
