,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Pxdc1,0.9252,0.07479999999999998,2.515191922495496,0.0002498548,0.00012506264,0.0,0.25,1.9138287,1.8166065,2.130582,-4.239545,10.269109,1.2413099,0.5915947,0.6339468302658474,0.3275426405558986,2.3976212,1.1111398,False,Naive_1 vs Rest,Naive_1,Rest
Ly6c2,0.923,0.07699999999999996,2.4838236936132834,0.00039935514,0.00050739094,0.0,0.25,0.6216324,0.5358677,2.4027379,-8.220335,8.341535,1.7955003,5.731207,0.25562372188139115,0.27005685407453645,2.4632921,3.8511832,False,Naive_1 vs Rest,Naive_1,Rest
Irgc1,0.9198,0.08020000000000005,2.439632626417011,3.68054e-05,1.8721537e-05,0.0,0.25,1.5526514,1.3744903,2.0414212,-5.064149,9.7129545,0.16564403,0.07833218,0.14110429447852796,0.07012002526847773,0.33869356,0.13911192,False,Naive_1 vs Rest,Naive_1,Rest
Gm15675,0.9182,0.08179999999999998,2.4181378768479127,2.409842e-05,1.7176286e-05,0.0,0.25,0.97210616,0.89101696,2.2359142,-6.849886,9.581283,0.1267894,0.0843334,0.10736196319018429,0.07106759317751121,0.23357023,0.1646972,False,Naive_1 vs Rest,Naive_1,Rest
Ccnb1ip1,0.916,0.08399999999999996,2.389199457700236,0.00016840549,0.00010042186,0.0,0.25,0.9205567,0.9699254,1.9015015,-6.3181543,6.841509,0.9100208,0.6847723,0.2382413087934567,0.20814908401768487,1.8038868,0.9267946,False,Naive_1 vs Rest,Naive_1,Rest
Ddx60,0.9158,0.08420000000000005,2.3866029711292898,2.8724295e-05,2.6079959e-05,0.0,0.25,0.41956195,0.35551643,2.1242752,-6.6761894,7.5195446,0.15848656,0.17529982,0.12985685071574674,0.12728995578016447,0.26848212,0.19800548,False,Naive_1 vs Rest,Naive_1,Rest
Ifit3,0.9118,0.08819999999999995,2.335813602355235,0.00012410224,6.616579e-05,0.0,0.25,0.62130624,0.5273142,2.1619146,-7.081089,10.618626,0.3926375,0.3556529,0.15337423312883475,0.1686670878079581,0.7398023,0.4281152,False,Naive_1 vs Rest,Naive_1,Rest
Pxk,0.9114,0.08860000000000001,2.330849919324067,0.00022031159,0.00015078159,0.0,0.25,1.0218213,1.0926313,1.4404238,-3.5412436,5.3931894,1.074643,0.75804824,0.61247443762781,0.4516740366392795,2.030543,1.3371834,False,Naive_1 vs Rest,Naive_1,Rest
Hist1h2bc,0.9098,0.09019999999999995,2.311195268194014,4.682969e-05,2.973909e-05,0.0,0.25,0.94378155,0.9822526,1.7452554,-5.366539,6.3164797,0.1431492,0.14118737,0.11451942740286325,0.10233733417561618,0.28512532,0.19399294,False,Naive_1 vs Rest,Naive_1,Rest
Rnf144a,0.9094,0.09060000000000001,2.306330728962968,5.2637577e-05,3.090414e-05,0.0,0.25,1.3174043,1.2548175,1.7304267,-3.8874435,7.210844,0.27198294,0.14308242,0.23108384458077774,0.12097283638660802,0.5235947,0.26815337,False,Naive_1 vs Rest,Naive_1,Rest
Tgtp2,0.9072,0.0928,2.279916196445646,3.5571204e-05,2.4869172e-05,0.0,0.25,0.8786557,0.8814907,1.7246261,-4.64764,8.460243,0.13394684,0.11244437,0.11554192229038882,0.09191408717624786,0.2481776,0.14504568,False,Naive_1 vs Rest,Naive_1,Rest
Usp18,0.9052,0.0948,2.256386410060462,6.3953885e-05,5.658124e-05,0.0,0.25,0.22006084,0.13750505,2.0981178,-5.896864,9.230343,0.32208523,0.48894346,0.21267893660531756,0.23531269740997687,0.54970944,0.47582984,False,Naive_1 vs Rest,Naive_1,Rest
Plk2,0.9048,0.09519999999999995,2.2517338890147465,0.000103687766,5.2837782e-05,0.0,0.25,1.3345566,1.2473946,1.6779333,-4.835207,7.209015,0.3916148,0.19235614,0.2177914110429454,0.11560328490208495,0.75097936,0.3424853,False,Naive_1 vs Rest,Naive_1,Rest
Fcer2a,0.9046,0.09540000000000004,2.2494141848223137,0.00029048673,0.00025345507,0.0,0.25,0.7008161,0.77037907,1.5689878,-4.18824,6.762912,1.5194279,1.4121939,0.6206543967280147,0.41819330385343123,2.7040977,2.1870873,False,Naive_1 vs Rest,Naive_1,Rest
Brwd1,0.903,0.09699999999999998,2.2310114828950223,3.846998e-05,3.7538655e-05,0.0,0.25,0.4775533,0.5277815,1.7090809,-5.0829935,5.7871075,0.22801597,0.23815544,0.18813905930470398,0.17909033480732597,0.41749123,0.40188217,False,Naive_1 vs Rest,Naive_1,Rest
Itgb3,0.9022,0.0978,2.2219115567680574,3.8045746e-05,2.2792821e-05,0.0,0.25,1.0591589,1.064981,1.7538223,-4.400399,7.443715,0.16053155,0.07833221,0.14110429447852796,0.06727732154137728,0.3033551,0.12614276,False,Naive_1 vs Rest,Naive_1,Rest
Cd55,0.9006,0.09940000000000004,2.2039090047050345,0.00025145902,0.0001714819,0.0,0.25,0.95690477,0.9021268,1.7421616,-3.8370438,6.4749823,1.1206545,0.7479412,0.569529652351735,0.4017687934301849,2.1458793,1.4243845,False,Naive_1 vs Rest,Naive_1,Rest
