,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Pxdc1,0.972,0.028000000000000025,3.5471509474305067,0.00027412345,5.442413e-05,0.0,0.25,2.8801076,2.8128672,1.8032602,-3.0632668,10.499998,1.1567641,0.4128151,0.6113513513513459,0.22929380993897047,2.6000292,0.4588906,True,0 vs Rest,0,Rest
Pxk,0.9612,0.038799999999999946,3.209762009904824,0.00026962603,8.3052524e-05,0.0,0.25,1.9163145,1.9074464,1.167519,-2.5998087,6.2085066,1.0832505,0.6307779,0.6259459459459403,0.3796861377506589,2.4623542,0.7253914,True,0 vs Rest,0,Rest
Rnf144a,0.9508,0.04920000000000002,2.961409919253223,5.754484e-05,1.8283125e-05,0.0,0.25,2.0568764,1.9836259,1.5347807,-4.2779875,7.582473,0.24756719,0.11377488,0.20972972972972834,0.0963382737576291,0.55456835,0.14607567,True,0 vs Rest,0,Rest
Cnn3,0.948,0.052000000000000046,2.903110601914443,0.00015891895,5.563299e-05,0.0,0.25,1.6481994,1.6317859,1.0781333,-2.1887178,5.3473825,0.66919506,0.28857833,0.46594594594594196,0.21142109851787225,1.4888346,0.34723362,True,0 vs Rest,0,Rest
Zfp318,0.9456,0.054400000000000004,2.8554553195417203,0.000110566616,4.2409818e-05,0.0,0.25,1.6410408,1.6132598,1.207736,-4.204468,6.301098,0.48756993,0.2541407,0.34216216216215944,0.18482999128160416,1.0856442,0.3231003,True,0 vs Rest,0,Rest
Ighd,0.9452,0.05479999999999996,2.8477061794568197,0.00033160078,0.00011688913,0.0,0.25,1.7914602,1.7691307,1.3117653,-3.7819128,7.2824755,1.5102733,0.70706385,0.7021621621621558,0.32301656495205117,3.452209,0.88352174,True,0 vs Rest,0,Rest
Fcer2a,0.9436,0.056400000000000006,2.817233022322269,0.00039062285,0.0001513229,0.0,0.25,1.6971686,1.7750788,1.3704959,-4.386076,6.4907417,1.7805424,1.1608596,0.6745945945945885,0.29773321708805695,3.8794453,1.0426989,True,0 vs Rest,0,Rest
Ralgps2,0.942,0.05800000000000005,2.7875621022318757,0.00037383457,0.00012628078,0.0,0.25,2.046412,1.9846349,1.6555198,-5.2783384,7.9306498,1.6010823,1.0091611,0.7151351351351286,0.43853530950305925,3.6325326,1.1889403,True,0 vs Rest,0,Rest
Gm15675,0.9414,0.058599999999999985,2.776633272358103,2.7726537e-05,1.18395965e-05,0.0,0.25,1.8205035,1.832499,2.1155634,-5.5490875,10.044444,0.11999984,0.073670395,0.1027027027027024,0.06102877070619004,0.27790323,0.10276462,True,0 vs Rest,0,Rest
Irgc1,0.9412,0.05879999999999996,2.7730136425053487,3.4613695e-05,1.2939534e-05,0.0,0.25,2.0345342,1.883256,1.9376401,-5.2966814,9.61437,0.12864847,0.07497812,0.11243243243243203,0.0662598081952921,0.28886425,0.10343159,True,0 vs Rest,0,Rest
Tmem108,0.9406,0.05940000000000001,2.7622235854237056,8.6477026e-05,3.1488722e-05,0.0,0.25,1.6196449,1.5838914,1.1951933,-3.3247108,5.694397,0.33946055,0.13600677,0.26216216216216026,0.09895379250218014,0.74924904,0.14544429,True,0 vs Rest,0,Rest
Plk2,0.9384,0.06159999999999999,2.723514275118579,0.000103280116,3.3140383e-05,0.0,0.25,1.9467884,1.8918066,1.4668473,-4.4059687,7.9853544,0.3545953,0.14646886,0.20486486486486352,0.08718395815170045,0.78842425,0.15701038,True,0 vs Rest,0,Rest
Neurl3,0.9384,0.06159999999999999,2.723514275118579,0.00013310499,4.5684945e-05,0.0,0.25,1.8569328,1.8309436,1.4878485,-3.9599047,7.8843946,0.6210859,0.33042645,0.39297297297296974,0.21795989537924965,1.3661699,0.40438804,True,0 vs Rest,0,Rest
Rnf130,0.935,0.06499999999999995,2.666159116242096,0.00021171212,9.841721e-05,0.0,0.25,1.2867112,1.2325697,0.92149884,-2.084752,5.8467245,0.8616307,0.7214518,0.5686486486486436,0.44289450741064446,1.8775022,0.8245173,False,0 vs Rest,0,Rest
Brwd1,0.9332,0.06679999999999997,2.636916320619904,5.5699373e-05,2.3084014e-05,0.0,0.25,1.5810809,1.67905,1.5500742,-5.7431974,6.962492,0.26486468,0.21229252,0.21567567567567422,0.15344376634699264,0.6126098,0.23859516,False,0 vs Rest,0,Rest
Itgb3,0.9316,0.06840000000000002,2.611530577917082,3.8876267e-05,1.609227e-05,0.0,0.25,1.6381191,1.6366196,1.6574094,-5.99041,8.050015,0.12918903,0.07236261,0.11405405405405364,0.06102877070619004,0.27196094,0.08409841,False,0 vs Rest,0,Rest
Sorl1,0.9314,0.0686,2.608396160780379,0.00022385249,0.00010370698,0.0,0.25,1.666575,1.5782814,1.5443953,-4.566141,8.281641,0.9594677,0.77027524,0.5562162162162113,0.4311246730601644,2.0535963,1.0345348,False,0 vs Rest,0,Rest
Lmo2,0.931,0.06899999999999995,2.6021526384934215,0.00026030713,9.079877e-05,0.0,0.25,1.7705307,1.6940002,1.4534179,-2.7584505,6.915515,1.125412,0.65736943,0.6237837837837782,0.37881429816914186,2.521827,0.8298293,False,0 vs Rest,0,Rest
Dipk1a,0.9306,0.06940000000000002,2.595942538551336,0.0002619191,0.00011018132,0.0,0.25,1.4734452,1.4734511,1.0803084,-2.9824972,5.53496,1.1735191,0.92764497,0.6172972972972918,0.5043591979075959,2.5974958,1.0952624,False,0 vs Rest,0,Rest
B3gnt8,0.9278,0.07220000000000004,2.5533760186929015,5.334862e-05,2.245171e-05,0.0,0.25,1.6347102,1.565135,1.8256398,-4.721946,7.6070566,0.25243214,0.15387942,0.20810810810810673,0.12772449869224153,0.5526823,0.193223,False,0 vs Rest,0,Rest
Sell,0.9272,0.07279999999999998,2.544453210245434,0.00021764629,8.839218e-05,0.0,0.25,1.5228353,1.5705466,1.2995536,-4.1009893,6.2344427,0.79676366,0.45379162,0.47783783783783373,0.23931996512641582,1.8048856,0.51380503,False,0 vs Rest,0,Rest
Il10ra,0.9264,0.0736,2.5326609560088174,0.00013256432,5.9723134e-05,0.0,0.25,1.4604399,1.308866,1.4148824,-3.3367605,7.339926,0.6000042,0.4786388,0.39351351351351027,0.30427201394943476,1.3305112,0.53628504,False,0 vs Rest,0,Rest
Rapgef4,0.9256,0.07440000000000002,2.52098611043563,4.8030004e-05,2.0775935e-05,0.0,0.25,1.5245701,1.5260792,1.6519005,-5.6687727,8.706815,0.16378357,0.067567535,0.1318918918918913,0.05666957279860504,0.3559691,0.09361343,False,0 vs Rest,0,Rest
Vpreb3,0.9252,0.07479999999999998,2.515191922495496,0.00013664394,4.570943e-05,0.0,0.25,1.6661245,1.6519184,1.6835229,-4.473276,7.5550175,0.5540569,0.2772447,0.3183783783783759,0.11813426329555446,1.4605535,0.2576295,False,0 vs Rest,0,Rest
Cr2,0.925,0.07499999999999996,2.5123055014536018,0.00021715835,9.651985e-05,0.0,0.25,1.5137877,1.5144515,1.4030906,-4.5013294,7.4379435,0.9946024,0.60157025,0.5194594594594549,0.2990409764603325,1.9864272,0.7186963,False,0 vs Rest,0,Rest
Cd55,0.923,0.07699999999999996,2.4838236936132834,0.00028028392,0.00011539159,0.0,0.25,1.6222572,1.617404,1.6037693,-4.2535286,7.6418037,1.0962225,0.62598294,0.5610810810810761,0.3448125544899772,2.5125985,0.8543869,False,0 vs Rest,0,Rest
Cpm,0.9228,0.07720000000000005,2.4810129505717815,9.142382e-05,4.0664283e-05,0.0,0.25,1.5189892,1.4466748,1.4754788,-4.087635,6.3636045,0.38486636,0.19965094,0.2816216216216195,0.14036617262423784,0.8738009,0.2575972,False,0 vs Rest,0,Rest
Stap1,0.9212,0.07879999999999998,2.4587640550345577,0.00025479653,0.00012419671,0.0,0.25,1.252063,1.208591,1.064764,-2.6525402,6.728404,1.1016291,0.9646978,0.5783783783783732,0.49084568439408177,2.3586304,1.1223713,False,0 vs Rest,0,Rest
Bach2,0.92,0.07999999999999996,2.4423469212387783,0.00041769928,0.00022104841,0.0,0.25,1.3508545,1.3507595,1.3813869,-5.1491175,7.121315,2.0216215,1.9154452,0.7664864864864794,0.589799476896266,4.341692,2.2654352,False,0 vs Rest,0,Rest
Gm16341,0.9192,0.08079999999999998,2.431526648124153,4.0920393e-05,1.9107421e-05,0.0,0.25,1.405101,1.31077,1.3308971,-3.5079155,7.27415,0.20810778,0.09764592,0.17405405405405303,0.07672188317349628,0.45013672,0.10020939,False,0 vs Rest,0,Rest
Zfp608,0.9186,0.08140000000000003,2.423475386919214,6.751561e-05,3.300131e-05,0.0,0.25,1.3889759,1.4485507,1.3349675,-5.139701,6.7908716,0.27567565,0.17175214,0.2199999999999985,0.11682650392327894,0.61735296,0.18727982,False,0 vs Rest,0,Rest
