,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Gpr82,0.9698,0.030200000000000005,3.469247619476059,1.9742296e-05,3.3934814e-06,0.0,0.25,3.670915,3.543254,2.6741807,-4.2071333,13.442479,0.12840055,0.013023252,0.11099020674646372,0.012093023255813962,0.16184197,0.015800146,True,Class_switched vs Rest,Class_switched,Rest
Sh2d1b1,0.9678,0.032200000000000006,3.4030587015826104,2.1066313e-05,4.365994e-06,0.0,0.25,2.9616835,3.0949268,2.4059565,-6.323868,10.156812,0.18716016,0.034728695,0.13601741022850947,0.0257364341085271,0.18534507,0.028432151,True,Class_switched vs Rest,Class_switched,Rest
Rprm,0.9638,0.03620000000000001,3.2818244195070476,0.000109391025,1.9741838e-05,0.0,0.25,3.6966312,3.3670115,3.0467243,-4.9798203,15.491328,0.8063126,0.08124039,0.35582154515777825,0.0499224806201549,1.073771,0.0914293,True,Class_switched vs Rest,Class_switched,Rest
Pik3r6,0.9632,0.036800000000000055,3.264762968022636,2.241555e-05,4.7995145e-06,0.0,0.25,3.1969845,3.2559342,2.376188,-4.2289114,10.924857,0.20565854,0.044651207,0.15669205658324292,0.03720930232558131,0.21299654,0.03856667,True,Class_switched vs Rest,Class_switched,Rest
1700113H08Rik,0.9614,0.03859999999999997,3.2151380303232497,2.1010383e-05,4.7867125e-06,0.0,0.25,3.2598817,3.2645607,2.784819,-6.50702,13.78537,0.14798707,0.027286828,0.10663764961915141,0.019224806201550385,0.14947952,0.022450048,True,Class_switched vs Rest,Class_switched,Rest
Igha,0.9598,0.040200000000000014,3.172857695461819,0.00039753714,0.00024353809,0.0,0.25,2.6792412,2.8916793,2.3578207,-9.061833,11.18064,2.9455984,5.0077553,0.5571273122959673,0.15627906976744194,3.2359974,2.3595085,True,Class_switched vs Rest,Class_switched,Rest
Ccl22,0.9586,0.04139999999999999,3.1421927747802774,7.287085e-05,5.037172e-05,0.0,0.25,1.9185307,2.1560154,4.0856543,-11.758825,14.736263,0.9053322,0.5779841,0.10010881392818295,0.04465116279069756,0.53375196,0.42144293,True,Class_switched vs Rest,Class_switched,Rest
Tmem176a,0.9536,0.0464,3.0229446320482345,5.122006e-05,4.6292374e-05,0.0,0.25,1.9018815,2.179418,2.753469,-8.993602,10.22872,0.36670312,0.5599993,0.13275299238302524,0.1001550387596904,0.2379956,0.45503807,True,Class_switched vs Rest,Class_switched,Rest
Lipc,0.9524,0.047599999999999976,2.996152153791112,4.6444682e-05,1.9541883e-05,0.0,0.25,2.5162978,2.5495815,2.5569909,-6.482525,10.520887,0.24047907,0.11441877,0.16104461371055523,0.07100775193798445,0.2521027,0.12322391,True,Class_switched vs Rest,Class_switched,Rest
Pla2g7,0.9518,0.04820000000000002,2.982995710668006,3.0091178e-05,1.1615891e-05,0.0,0.25,2.5951521,2.625667,2.5297306,-6.6447763,10.577287,0.19586526,0.0514729,0.14254624591947793,0.034108527131782876,0.2430328,0.058445353,True,Class_switched vs Rest,Class_switched,Rest
Fgl2,0.9504,0.04959999999999998,2.9528919237865017,7.4391755e-05,2.3883265e-05,0.0,0.25,2.3414798,2.3565154,1.952891,-4.7928305,8.530845,0.55277556,0.18387629,0.31556039173014044,0.10914728682170606,0.59684503,0.17992006,True,Class_switched vs Rest,Class_switched,Rest
Ifi211,0.9502,0.049799999999999955,2.948657314443122,2.3647648e-05,1.6674438e-05,0.0,0.25,1.682065,1.8100724,2.727396,-7.2375317,9.421842,0.23395024,0.17426385,0.16104461371055523,0.08930232558139563,0.20685448,0.12689811,True,Class_switched vs Rest,Class_switched,Rest
Slpi,0.9492,0.050799999999999956,2.9277229836619862,7.156324e-05,0.00010001144,0.0,0.25,1.933591,2.141738,2.3889158,-10.45648,9.280156,0.23068567,2.554109,0.11099020674646372,0.03875968992248053,0.2994434,1.1165,True,Class_switched vs Rest,Class_switched,Rest
Gatm,0.949,0.051000000000000045,2.9235829803445967,1.7732758e-05,1.1261793e-05,0.0,0.25,2.091098,2.131384,2.8163576,-8.493386,11.510139,0.23068573,0.10759701,0.14145810663764985,0.04930232558139521,0.19103746,0.069156304,True,Class_switched vs Rest,Class_switched,Rest
Ighg3,0.9484,0.05159999999999998,2.911254498449377,9.5815114e-05,6.524235e-05,0.0,0.25,2.8137646,2.6699433,2.811016,-9.904608,15.27797,0.35255733,0.13705441,0.12295973884657256,0.07038759689922475,0.35581544,0.13497543,True,Class_switched vs Rest,Class_switched,Rest
Il2rb,0.948,0.052000000000000046,2.903110601914443,4.082102e-05,1.0904755e-05,0.0,0.25,2.562643,2.563295,2.215141,-4.254198,9.5333805,0.3852018,0.075969085,0.23939064200217675,0.052403100775193646,0.3882695,0.0644488,True,Class_switched vs Rest,Class_switched,Rest
AC133103.1,0.9476,0.0524,2.8950257006709337,6.837722e-05,4.2163705e-05,0.0,0.25,1.9094976,2.1541638,2.3388577,-5.974208,8.022788,0.6180641,0.3789134,0.34711643090315386,0.1755038759689918,0.6748162,0.3740677,True,Class_switched vs Rest,Class_switched,Rest
Nlrp1b,0.9466,0.0534,2.8750656948042224,2.3992792e-05,8.65032e-06,0.0,0.25,2.2586384,2.2376676,2.124799,-5.0763006,9.708118,0.18063137,0.06418614,0.14581066376496216,0.05519379844961224,0.19620575,0.064580284,True,Class_switched vs Rest,Class_switched,Rest
