,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Vpreb3,0.9418,0.05820000000000003,2.7839074218687356,0.00019729906,5.874188e-05,0.0,0.25,1.9722848,1.9659867,1.6220435,-3.3182888,8.194543,0.808488,0.2921756,0.43577981651376374,0.14669926650366713,2.3734274,0.37389874,True,Naive_2 vs Rest,Naive_2,Rest
Brwd1,0.9398,0.06020000000000003,2.747994578881558,7.5313896e-05,2.776016e-05,0.0,0.25,1.8096688,1.8177829,1.4184744,-3.261075,6.299488,0.30619296,0.21699229,0.24655963302752185,0.16381418092909547,0.83144665,0.29206717,True,Naive_2 vs Rest,Naive_2,Rest
Fcer2a,0.9322,0.06779999999999997,2.6209850522269886,0.0005112041,0.00019895718,0.0,0.25,1.7221326,1.7137599,1.3227988,-3.3874636,6.2179737,2.0733995,1.2680427,0.7350917431192624,0.39425427872859964,5.197666,1.539292,False,Naive_2 vs Rest,Naive_2,Rest
Ralgps2,0.928,0.07199999999999995,2.556365485657129,0.0004730601,0.00017843542,0.0,0.25,1.9204545,1.7297506,1.6106005,-3.1194134,7.9175415,1.6399127,1.17575,0.7442660550458676,0.5134474327628243,4.4474564,1.7021487,False,Naive_2 vs Rest,Naive_2,Rest
Pxdc1,0.926,0.07399999999999995,2.5268090171060202,0.0003068135,0.00011738728,0.0,0.25,2.164114,2.0413866,2.06905,-4.0093966,10.850082,1.0619293,0.6604554,0.5860091743119274,0.3502444987775022,2.8270366,1.038377,False,Naive_2 vs Rest,Naive_2,Rest
Pxk,0.9226,0.07740000000000002,2.4782088721680138,0.0003268056,0.00012743742,0.0,0.25,1.6985497,1.6709056,1.2693695,-2.5273266,5.916458,1.0928929,0.7634561,0.6410550458715588,0.44926650366747145,2.9466481,1.1155015,False,Naive_2 vs Rest,Naive_2,Rest
Frat2,0.921,0.07899999999999996,2.456012068063779,3.4605797e-05,1.4309447e-05,0.0,0.25,1.3667474,1.3569407,1.3212689,-3.314868,5.559145,0.11697239,0.07671138,0.11009174311926578,0.0641809290953547,0.32661623,0.09057479,False,Naive_2 vs Rest,Naive_2,Rest
Ighd,0.9202,0.07979999999999998,2.4450674188195327,0.00040940466,0.00016452935,0.0,0.25,1.6658248,1.5826616,1.2900944,-3.2691517,7.180538,1.6146834,0.9193243,0.739678899082565,0.42634474327627486,4.3628154,1.4086205,False,Naive_2 vs Rest,Naive_2,Rest
Maml3,0.9154,0.08460000000000001,2.3814267543282472,4.083557e-05,2.0929074e-05,0.0,0.25,1.4432263,1.4386945,1.546374,-5.9699774,6.9282055,0.11811916,0.080073245,0.1032110091743117,0.0650977995110026,0.3062099,0.121718206,False,Naive_2 vs Rest,Naive_2,Rest
Sell,0.9136,0.08640000000000003,2.358405058296711,0.00026481037,0.00011674428,0.0,0.25,1.3992734,1.3741388,1.3508638,-4.0498753,6.4922886,0.8256901,0.548595,0.4827981651376178,0.30929095354523095,2.2198908,0.7891069,False,Naive_2 vs Rest,Naive_2,Rest
Cd55,0.9122,0.08779999999999999,2.340797660703828,0.00032248112,0.00015899417,0.0,0.25,1.4110204,1.3334703,1.6197371,-4.4403515,6.866145,1.0688097,0.7738472,0.5516055045871578,0.41198044009779167,2.9238937,1.2404138,False,Naive_2 vs Rest,Naive_2,Rest
Lmo2,0.9112,0.08879999999999999,2.328375660496781,0.00031520677,0.00013267927,0.0,0.25,1.570983,1.4954357,1.4902521,-3.426856,7.114938,1.1204157,0.7986031,0.6249999999999997,0.4517114914425324,2.985867,1.2118994,False,Naive_2 vs Rest,Naive_2,Rest
Mapk11,0.9104,0.08960000000000001,2.3185286427682277,4.9301918e-05,2.1759754e-05,0.0,0.25,1.4470534,1.3474021,1.3055665,-3.2527494,6.383354,0.19954142,0.11766484,0.17775229357798097,0.10330073349633198,0.5480622,0.17067012,False,Naive_2 vs Rest,Naive_2,Rest
Cnn3,0.9098,0.09019999999999995,2.311195268194014,0.00019072404,8.04883e-05,0.0,0.25,1.4998739,1.4750457,1.1531594,-2.6211767,5.660862,0.6651391,0.4034222,0.4724770642201864,0.2857579462102691,1.7204782,0.6267241,False,Naive_2 vs Rest,Naive_2,Rest
Ccnb1ip1,0.9094,0.09060000000000001,2.306330728962968,0.00011567417,0.00011993433,0.0,0.25,0.017388156,-0.034611225,1.975177,-5.274707,6.08101,0.4162846,0.82366306,0.12499999999999964,0.23930317848410976,0.96748847,1.1781119,False,Naive_2 vs Rest,Naive_2,Rest
H3f3a,0.909,0.09099999999999997,2.3014854887716254,0.002364745,0.001125487,0.0,0.25,1.1356161,1.1271238,0.7768014,-1.13939,4.8465214,9.048175,9.246082,0.9965596330275114,0.9776894865526102,23.881838,10.952362,False,Naive_2 vs Rest,Naive_2,Rest
S1pr4,0.9084,0.09160000000000001,2.2942534403893853,6.865814e-05,3.1885742e-05,0.0,0.25,1.2990029,1.2475114,1.5958145,-4.2790956,8.343719,0.22247715,0.19896053,0.18463302752293506,0.1589242053789731,0.6534673,0.2750963,False,Naive_2 vs Rest,Naive_2,Rest
Rapgef4,0.9082,0.09179999999999999,2.291852223115741,5.285558e-05,2.797622e-05,0.0,0.25,1.2097472,1.194768,1.6496835,-4.82397,8.314548,0.13990822,0.10268934,0.11467889908256851,0.08374083129584334,0.38943845,0.16311178,False,Naive_2 vs Rest,Naive_2,Rest
Rnf144a,0.9064,0.09360000000000002,2.2704502304253054,6.418615e-05,2.9367673e-05,0.0,0.25,1.6243826,1.547853,1.6535153,-4.5772705,7.110364,0.22018355,0.16106328,0.18577981651376074,0.13661369193153972,0.5893072,0.25891608,False,Naive_2 vs Rest,Naive_2,Rest
Zfp608,0.905,0.09499999999999997,2.2540579578859568,8.10428e-05,4.0334293e-05,0.0,0.25,1.3235543,1.2952142,1.2563902,-3.780446,6.2653065,0.28325713,0.20079426,0.23394495412843935,0.1439486552567233,0.7550391,0.27913457,False,Naive_2 vs Rest,Naive_2,Rest
Il12a,0.9048,0.09519999999999995,2.2517338890147465,3.6843787e-05,2.049453e-05,0.0,0.25,1.0983467,1.0904942,1.510496,-4.953498,6.755394,0.14220177,0.1503665,0.11009174311926578,0.10757946210268887,0.3513443,0.1697755,False,Naive_2 vs Rest,Naive_2,Rest
Plk2,0.9048,0.09519999999999995,2.2517338890147465,0.00010390812,5.5427463e-05,0.0,0.25,1.4142,1.348134,1.5413343,-3.5480757,7.460619,0.3130736,0.21974294,0.19036697247706347,0.12622249388752965,0.83042055,0.33454752,False,Naive_2 vs Rest,Naive_2,Rest
Hvcn1,0.9034,0.09660000000000002,2.235586589551662,0.0005536872,0.0002609076,0.0,0.25,1.2249019,1.1924796,1.0272536,-2.6249256,5.893463,1.9678956,1.7060179,0.772935779816509,0.6711491442542855,5.3816295,2.3748355,False,Naive_2 vs Rest,Naive_2,Rest
Gm45552,0.902,0.09799999999999998,2.2196469504377156,5.09766e-05,2.8612703e-05,0.0,0.25,1.1519015,1.093257,1.8852229,-5.5847826,10.152056,0.17087156,0.13844721,0.13646788990825645,0.10482885085574516,0.45795372,0.20592865,False,Naive_2 vs Rest,Naive_2,Rest
9430038I01Rik,0.901,0.09899999999999998,2.2083853175624317,5.137856e-05,2.5679636e-05,0.0,0.25,1.1658235,1.0989647,0.9958421,-3.2130384,4.972891,0.14220174,0.18765247,0.1330275229357794,0.15800733496332514,0.34757513,0.24071014,False,Naive_2 vs Rest,Naive_2,Rest
Klf2,0.9006,0.09940000000000004,2.2039090047050345,0.0010422813,0.000507685,0.0,0.25,1.1896544,1.2087421,1.3230876,-3.5857878,5.2334356,3.5768442,3.438302,0.8096330275229299,0.7007946210269052,10.081795,4.7364674,False,Naive_2 vs Rest,Naive_2,Rest
Zfp318,0.9004,0.09960000000000002,2.201676855146598,0.00013163603,5.8197118e-05,0.0,0.25,1.4507037,1.3810854,1.2707187,-3.9727697,6.054351,0.4770651,0.32671088,0.34518348623853273,0.23105134474327824,1.3031709,0.4930529,False,Naive_2 vs Rest,Naive_2,Rest
