,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Igkc,1.0,0.0,18.420680753952368,0.011114868,0.001115073,0.0,0.25,3.2919586,3.2526228,0.8399047,0.29666615,8.317666,299.01367,7.5202265,0.9726027397260293,0.8889707688527743,119.82565,10.182128,True,Plasma cell vs Rest,Plasma cell,Rest
Jchain,1.0,0.0,18.420680753952368,0.020622257,0.000102945734,0.0,0.25,8.674959,8.90172,1.8424698,1.9873972,14.02466,1178.4795,0.54605687,1.000000000000002,0.11815278801277333,491.6898,0.5362286,True,Plasma cell vs Rest,Plasma cell,Rest
Slpi,0.9996,0.00039999999999995595,7.823620941151559,0.0040879375,4.0714236e-05,0.0,0.25,7.6265726,7.813726,2.2096198,-2.963852,15.023109,92.32879,0.41979808,0.7123287671232885,0.04298698108572834,38.176,0.2675148,True,Plasma cell vs Rest,Plasma cell,Rest
Ighg2c,0.9996,0.00039999999999995595,7.823620941151559,0.004905485,6.632469e-05,0.0,0.25,7.008553,6.832715,2.269088,0.093595505,18.18506,28.219175,0.33701798,0.273972602739726,0.11446818963399662,28.045261,0.30174398,True,Plasma cell vs Rest,Plasma cell,Rest
Igkv4-72,0.9996,0.00039999999999995595,7.823620941151559,0.0065911766,8.087859e-05,0.0,0.25,6.537736,6.5164127,1.8810824,-0.77546597,17.989883,182.94522,0.35421273,0.136986301369863,0.02210759027266029,187.7292,0.40215573,True,Plasma cell vs Rest,Plasma cell,Rest
Igha,0.9994,0.0006000000000000449,7.417964066154244,0.008120641,0.00016113074,0.0,0.25,6.6225743,6.691207,2.3201354,-0.71107197,14.996893,183.61647,1.3394727,0.6712328767123295,0.2375337754851389,72.754166,1.2950739,True,Plasma cell vs Rest,Plasma cell,Rest
Plpp5,0.9994,0.0006000000000000449,7.417964066154244,0.00013709349,1.1876489e-05,0.0,0.25,3.5812259,3.60046,1.028274,-0.4037218,7.909815,3.054794,0.06877897,0.8356164383561657,0.06140997297961192,1.2139592,0.072034344,True,Plasma cell vs Rest,Plasma cell,Rest
Ighm,0.9992,0.0008000000000000229,7.13008602021168,0.008614067,0.0009171951,0.0,0.25,3.1847222,3.1905837,0.9811403,-0.2080059,7.9732127,255.79453,6.5816345,0.7945205479452067,0.8300171947923601,98.76792,8.98516,True,Plasma cell vs Rest,Plasma cell,Rest
Igkv12-46,0.9992,0.0008000000000000229,7.13008602021168,0.0046308762,0.00013821704,0.0,0.25,5.055706,5.098195,1.7779897,-1.7475443,15.086076,530.2192,2.1535254,0.1232876712328767,0.044706460329157476,237.76234,2.652144,True,Plasma cell vs Rest,Plasma cell,Rest
Txndc5,0.9992,0.0008000000000000229,7.13008602021168,0.001663859,0.00010335371,0.0,0.25,4.0500484,4.077639,1.1999964,-0.3243208,8.247081,36.904106,0.6961381,1.000000000000002,0.40260378285433573,15.876081,0.9792435,True,Plasma cell vs Rest,Plasma cell,Rest
Xbp1,0.999,0.0010000000000000009,6.906744788708563,0.0021542811,0.00012470929,0.0,0.25,4.061548,4.1507735,1.0170308,-1.2566586,7.6600065,39.095882,0.8437655,1.000000000000002,0.4446082043723903,16.125484,1.1011943,True,Plasma cell vs Rest,Plasma cell,Rest
Prdx4,0.9986,0.0013999999999999568,6.569874928627714,0.00039023222,3.932432e-05,0.0,0.25,3.4325914,3.4557953,1.006384,-0.75076103,6.9976892,9.410958,0.36305517,0.9726027397260293,0.23532301645787287,3.7652845,0.3884883,True,Plasma cell vs Rest,Plasma cell,Rest
Igkv10-96,0.9982,0.0018000000000000238,6.318161446611285,0.004031269,0.00023041973,0.0,0.25,4.087093,4.156542,1.5399183,-0.6349344,12.9849415,164.1233,2.1773524,0.2191780821917808,0.0835175632522722,75.75613,3.2929428,True,Plasma cell vs Rest,Plasma cell,Rest
Derl3,0.9982,0.0018000000000000238,6.318161446611285,0.0004901236,1.8253435e-05,0.0,0.25,5.1929502,5.175915,1.7799971,-1.3806238,11.395181,10.698629,0.053795084,0.9041095890410975,0.03340702530090888,3.9247758,0.048720308,True,Plasma cell vs Rest,Plasma cell,Rest
Tnfrsf17,0.9982,0.0018000000000000238,6.318161446611285,0.000120126235,2.7036929e-06,0.0,0.25,6.917615,6.9272056,2.6745853,-1.3539972,18.267702,2.3835611,0.0022107586,0.6849315068493158,0.002210759027266028,1.0155641,0.0023808626,True,Plasma cell vs Rest,Plasma cell,Rest
Cacna1h,0.9978,0.0021999999999999797,6.11709095964051,3.314835e-05,1.176159e-06,0.0,0.25,5.770918,5.741513,2.3446376,-3.7753801,16.789392,0.65753436,0.0017194791,0.410958904109589,0.0014738393515106852,0.29958165,0.0020093534,True,Plasma cell vs Rest,Plasma cell,Rest
Edem1,0.9978,0.0021999999999999797,6.11709095964051,0.0005042739,5.29697e-05,0.0,0.25,3.1588032,3.2295132,1.0004412,-1.3741531,6.175947,11.246574,0.38196978,0.9589041095890429,0.2515352493244904,4.4467864,0.44799134,True,Plasma cell vs Rest,Plasma cell,Rest
Creld2,0.9976,0.0023999999999999577,6.029879500378016,0.0007300843,5.417674e-05,0.0,0.25,3.6289687,3.6760936,1.1656355,-0.75931835,7.5717773,17.931503,0.45197633,0.9315068493150702,0.2807663964627857,6.5967035,0.5346179,True,Plasma cell vs Rest,Plasma cell,Rest
Edem2,0.9974,0.0026000000000000467,5.949636611964186,0.00040946447,5.2247644e-05,0.0,0.25,2.8583212,2.9051409,0.92893153,-1.0773315,6.1173515,9.383561,0.40358502,0.9452054794520566,0.29206583149103427,3.8127644,0.50746804,True,Plasma cell vs Rest,Plasma cell,Rest
Eaf2,0.997,0.0030000000000000027,5.8061351579960405,0.00028343045,2.1993303e-05,0.0,0.25,3.8731425,3.9482007,1.1043264,-1.7097759,8.158761,6.3835607,0.12208266,0.9041095890410975,0.08818472119872271,2.6265407,0.15968938,True,Plasma cell vs Rest,Plasma cell,Rest
Ccr10,0.9966,0.0033999999999999586,5.680571123087171,7.154524e-05,7.181585e-07,0.0,0.25,8.116634,8.191364,3.3470013,-3.8932533,23.562544,0.38356167,0.002456399,0.1917808219178082,0.0019651191353475803,0.16001415,0.0009772556,True,Plasma cell vs Rest,Plasma cell,Rest
Prg2,0.9962,0.0038000000000000256,5.568944352369496,0.00035625714,5.7700076e-06,0.0,0.25,7.9226837,8.076225,3.1664124,-4.8885956,21.666214,7.1917796,0.011053797,0.7397260273972612,0.005895357406042743,3.5142488,0.006214593,True,Plasma cell vs Rest,Plasma cell,Rest
Gm30211,0.9958,0.0041999999999999815,5.468459538011395,0.0018860268,0.00037371484,0.0,0.25,2.3547971,2.2957478,0.89113396,-0.4394827,7.917801,42.123287,2.1655676,0.9452054794520566,0.6357160402849119,17.166653,3.1040463,True,Plasma cell vs Rest,Plasma cell,Rest
Spcs2,0.9956,0.0043999999999999595,5.421738766888735,0.00053282763,0.00015239576,0.0,0.25,1.7774646,1.7699971,0.58444846,-1.2788763,4.290161,11.958901,1.0741751,0.9863013698630156,0.5580938344387,4.8353453,1.3656973,True,Plasma cell vs Rest,Plasma cell,Rest
Igkv14-111,0.9954,0.0046000000000000485,5.377086199064927,0.005312488,0.00019513848,0.0,0.25,4.688163,4.663206,1.5735582,-0.89587784,13.791969,722.15063,2.484647,0.2054794520547945,0.08302628346843531,243.35933,2.9511278,True,Plasma cell vs Rest,Plasma cell,Rest
Sdc1,0.9952,0.0048000000000000265,5.334325730788133,0.00017582926,1.0202094e-05,0.0,0.25,4.652876,4.6616287,1.9546157,-2.20471,13.241867,2.8082187,0.010562517,0.8219178082191794,0.00835175632522722,1.2651879,0.023865802,True,Plasma cell vs Rest,Plasma cell,Rest
Bhlha15,0.9952,0.0048000000000000265,5.334325730788133,1.7262224e-05,1.0226419e-06,0.0,0.25,4.906197,4.792083,2.1345952,-1.5230484,13.726905,0.410959,0.00073691964,0.3150684931506849,0.0007369196757553427,0.16717447,0.0008772518,True,Plasma cell vs Rest,Plasma cell,Rest
Cst6,0.9952,0.0048000000000000265,5.334325730788133,1.0840687e-05,9.0772033e-07,0.0,0.25,5.2834125,5.3082333,2.4270349,-8.000386,16.243439,0.15068492,0.0022107589,0.136986301369863,0.0009825595676737902,0.05229319,0.0024535456,True,Plasma cell vs Rest,Plasma cell,Rest
Hid1,0.9952,0.0048000000000000265,5.334325730788133,3.1840795e-05,1.5896186e-06,0.0,0.25,4.545145,4.4741507,1.8951186,-2.3257446,12.504129,0.8356166,0.0019651188,0.4383561643835616,0.0019651191353475803,0.32599586,0.001470539,True,Plasma cell vs Rest,Plasma cell,Rest
Iglv1,0.995,0.0050000000000000044,5.2933028347767435,0.010157665,0.00042141508,0.0,0.25,4.5434213,4.6845074,1.6244344,-1.4551563,13.488846,832.3699,4.831479,0.9178082191780839,0.1586833701793172,326.25906,5.7384934,True,Plasma cell vs Rest,Plasma cell,Rest
H13,0.9948,0.005199999999999982,5.253881173319069,0.00061557576,0.00010501833,0.0,0.25,2.4678063,2.5435143,0.8376128,-2.0234213,5.1833878,13.260272,0.75853014,0.9589041095890429,0.441169245885532,5.1197143,0.9603326,True,Plasma cell vs Rest,Plasma cell,Rest
Gpnmb,0.9942,0.005800000000000027,5.144078762030087,9.412661e-06,9.686443e-07,0.0,0.25,4.9869685,4.956457,2.4086096,-5.5191507,14.350189,0.19178084,0.0012281993,0.1506849315068493,0.0009825595676737902,0.070604555,0.0019311445,True,Plasma cell vs Rest,Plasma cell,Rest
Spcs1,0.9942,0.005800000000000027,5.144078762030087,0.0007396207,0.0001637399,0.0,0.25,2.1365802,2.1820583,0.7196327,-0.75405884,5.7453537,18.150682,1.3321049,1.000000000000002,0.6202407270940532,7.4739532,1.6213039,True,Plasma cell vs Rest,Plasma cell,Rest
Pon3,0.9942,0.005800000000000027,5.144078762030087,0.00011887379,8.788689e-06,0.0,0.25,3.862884,3.8756008,1.5274374,-1.6209536,8.706341,2.5479445,0.060427256,0.6986301369863022,0.05281257676246625,0.97306824,0.06667321,True,Plasma cell vs Rest,Plasma cell,Rest
Fkbp2,0.9936,0.006399999999999961,5.0450351683792265,0.0003379456,7.235049e-05,0.0,0.25,2.358775,2.3388205,0.9239988,-1.7080917,6.347432,9.369863,0.57847905,0.9726027397260293,0.3628101203635472,3.859735,0.7818659,True,Plasma cell vs Rest,Plasma cell,Rest
Tex14,0.9932,0.006800000000000028,4.984007980933258,0.00012298986,1.5817814e-05,0.0,0.25,3.0278099,3.0633564,1.1478275,-1.9479914,7.136112,1.8082186,0.064603135,0.575342465753425,0.05698845492507986,0.8586446,0.09412314,True,Plasma cell vs Rest,Plasma cell,Rest
Ighv1-81,0.993,0.007000000000000006,4.954819096489944,0.0020729033,7.915727e-05,0.0,0.25,4.575767,4.7666926,2.1103327,-2.905901,16.461435,75.602745,0.47285682,0.1232876712328767,0.05084745762711867,31.136738,0.65268093,True,Plasma cell vs Rest,Plasma cell,Rest
Kcnmb4os2,0.993,0.007000000000000006,4.954819096489944,3.080579e-05,1.5191359e-06,0.0,0.25,4.766556,4.819898,2.0768585,-1.7945805,15.240038,0.6849316,0.0034389577,0.3972602739726027,0.0034389584868582666,0.2830422,0.003827825,True,Plasma cell vs Rest,Plasma cell,Rest
Kbtbd12,0.993,0.007000000000000006,4.954819096489944,1.1326974e-05,5.417995e-07,0.0,0.25,5.715182,5.81371,2.438642,-8.213466,14.284122,0.20547944,0.0012281993,0.1506849315068493,0.0012281994595922377,0.07792285,0.0027270054,True,Plasma cell vs Rest,Plasma cell,Rest
Ssr4,0.9928,0.007199999999999984,4.926446829052988,0.0011413606,0.00023721214,0.0,0.25,2.2264075,2.282977,0.8015309,-1.0301619,6.261402,31.191774,2.0051663,0.9863013698630156,0.6907393760746318,11.756971,2.3185303,True,Plasma cell vs Rest,Plasma cell,Rest
