,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Ankle1,0.9824,0.01759999999999995,4.0220990973462705,1.44835185e-05,7.529232e-07,0.0,0.25,5.339696,5.8859873,4.7340426,-12.676819,17.62545,0.19607843,0.0021124901,0.1400560224089636,0.0015843675732770002,0.09695078,0.00067087414,True,Proliferating vs Rest,Proliferating,Rest
Iqgap3,0.9812,0.01880000000000004,3.9549189208252784,9.661281e-06,6.2879855e-07,0.0,0.25,5.339613,5.5115833,4.2109423,-10.891533,18.837156,0.14005603,0.0023765513,0.1008403361344538,0.0015843675732770002,0.0667114,0.0010214027,True,Proliferating vs Rest,Proliferating,Rest
Pbk,0.9806,0.019399999999999973,3.9228910578819054,3.5562403e-05,1.9938661e-06,0.0,0.25,5.230512,5.5260553,3.6676257,-7.465741,15.210765,0.464986,0.00844996,0.27450980392156815,0.003960918933192501,0.23731714,0.00330531,True,Proliferating vs Rest,Proliferating,Rest
Ska1,0.9774,0.022599999999999953,3.766945646311264,3.1786214e-05,2.605177e-06,0.0,0.25,4.011499,4.2108192,3.653068,-9.352184,14.239782,0.45378152,0.005017163,0.2492997198879548,0.003432796408766834,0.19874948,0.0019947763,True,Proliferating vs Rest,Proliferating,Rest
Neil3,0.9744,0.025599999999999956,3.6392291651079196,3.5980047e-05,2.0738873e-06,0.0,0.25,4.1715727,4.442213,3.8153126,-9.88495,14.992954,0.56302524,0.0044890414,0.2577030812324926,0.0023765513599155004,0.27752766,0.0017222606,True,Proliferating vs Rest,Proliferating,Rest
Rrm2,0.9738,0.0262,3.6154461615712816,0.00018791218,7.1595878e-06,0.0,0.25,4.184436,4.296065,2.9311569,-7.0270653,13.316452,3.6162512,0.0504357,0.39775910364145567,0.015051491946131524,1.7157815,0.028096378,True,Proliferating vs Rest,Proliferating,Rest
Spc24,0.9736,0.02639999999999998,3.607636163004399,8.8900146e-05,6.4316073e-06,0.0,0.25,3.523787,3.835546,3.0896468,-7.4799414,12.060472,1.6638676,0.031159239,0.43697478991596533,0.016371798257195695,0.77963847,0.022973433,True,Proliferating vs Rest,Proliferating,Rest
Pclaf,0.9734,0.026599999999999957,3.599883515945192,0.00039105717,1.232182e-05,0.0,0.25,4.2632146,4.763258,3.5883417,-9.22697,13.537507,8.26331,0.092157386,0.4985994397759091,0.015315553208344358,3.7386074,0.042793125,True,Proliferating vs Rest,Proliferating,Rest
Cdca5,0.9706,0.02939999999999998,3.4969194327933892,3.5673285e-05,3.2621124e-06,0.0,0.25,3.5801477,3.5600748,2.410372,-4.591733,13.337864,0.57983196,0.014787433,0.294117647058823,0.011882756799577513,0.2835062,0.010779274,True,Proliferating vs Rest,Proliferating,Rest
Plk1,0.9702,0.02980000000000005,3.4829935170364954,5.8338803e-05,5.0368926e-06,0.0,0.25,3.4236288,3.4717808,2.2286294,-4.92653,10.430816,0.70028013,0.008978084,0.23249299719887923,0.0052812252442566675,0.31064937,0.007997124,True,Proliferating vs Rest,Proliferating,Rest
Cdk1,0.9696,0.030399999999999983,3.4624406882690915,9.882967e-05,7.4319482e-06,0.0,0.25,3.4548433,3.8069005,2.98504,-7.4192095,11.526193,1.756305,0.03828888,0.42016806722688976,0.01980459466596254,0.76117796,0.026637683,True,Proliferating vs Rest,Proliferating,Rest
